PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
A01.0|R10|typhoid fever |intestinal infectious diseases|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|46
A09|R10|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|187
A49|R10|bacterial infection of unspecified site|other bacterial diseases|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|15
A88.1|R10|epidemic vertigo|viral infections of the central nervous system|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|7
A91|R10|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|8
B34|R10|viral infection of unspecified sites|other viral diseases|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|14
B37.3|R10|candidiasis of vulva and vagina (fluor albus)|mycoses|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|8
D64|R10|other anaemias|aplastic and other anaemias|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|7
E13|R10|other specified diabetes mellitus|diabetes mellitus|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|9
H82|R10|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|12
I10|R10|essential (primary) hypertension|hypertensive diseases|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|11
I84|R10|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|6
J00|R10|acute nasopharyngitis (common cold)|acute upper respiratory infections|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|12
J02|R10|acute pharyngitis|acute upper respiratory infections|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|54
J03|R10|acute tonsilitis|acute upper respiratory infections|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|7
J06|R10|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|97
J20|R10|acute bronchitis|other acute lower respiratory infections|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|7
J31|R10|chronic rhinitis|other diseases of upper respiratory tract|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|8
K21.9|R10|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|24
K29|R10|gastritis and duodenitis|diseases of oesophagus, stomach and duodenum|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|15
K29.6|R10|other gastritis|diseases of oesophagus, stomach and duodenum|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|6
K29.7|R10|gastritis|diseases of oesophagus, stomach and duodenum|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|41
K30|R10|dyspepsia|diseases of oesophagus, stomach and duodenum|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|142
K35|R10|acute appendicitis|diseases of appendix|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|26
K36|R10|other appendicitis|diseases of appendix|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|6
K59.0|R10|constipation (susah buang air besar)|other diseases of intestines|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|14
K80|R10|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|15
M54.5|R10|low back pain (nyeri punggung)|dorsopathies|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|19
M79.1|R10|myalgia (nyeri otot|soft tissue disorders|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|11
N20|R10|calculus of kidney and ureter|urolithiasis|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|6
N23|R10|unspecified renal colic|urolithiasis|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|6
N30.9|R10|urinary tract infections |other diseases of urinary system|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|27
N39.0|R10|urinary tract infection- site not specified|other diseases of urinary system|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|20
R11|R10|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|38
